DentistName,LicenseNumber,Specialization,Cabinet,PatientName,InsuranceNumber,PatientPhone,AppointmentDate,Status
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_233,INS-19406,+380502247036,2026-04-19 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_234,INS-58301,+380508097286,2026-05-20 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_235,INS-70067,+380505449726,2026-03-29 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_236,INS-79292,+380509385790,2026-04-23 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_237,INS-98553,+380504074199,2026-05-12 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_238,INS-44672,+380509756544,2026-05-01 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_239,INS-90939,+380501935315,2026-05-01 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_240,INS-28405,+380507234140,2026-05-18 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_241,INS-60325,+380509786896,2026-04-15 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_242,INS-45815,+380501774190,2026-05-25 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_243,INS-48825,+380509158102,2026-05-01 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_244,INS-13545,+380502685089,2026-04-17 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_245,INS-48015,+380507344382,2026-04-22 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_246,INS-75969,+380504038456,2026-04-18 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_247,INS-39123,+380503456732,2026-04-29 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_248,INS-88745,+380506000043,2026-05-05 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_249,INS-42089,+380507901799,2026-05-12 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_250,INS-83289,+380504281746,2026-04-19 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_251,INS-66040,+380501015217,2026-04-18 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_252,INS-46493,+380505778773,2026-05-16 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_253,INS-39377,+380506793060,2026-05-23 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_254,INS-80834,+380502959291,2026-04-12 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_255,INS-64828,+380501058442,2026-03-31 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_256,INS-15021,+380507032027,2026-05-20 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_257,INS-57739,+380505643194,2026-05-12 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_258,INS-62098,+380507068752,2026-04-28 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_259,INS-28300,+380501317510,2026-04-07 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_260,INS-84140,+380506728086,2026-05-22 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_261,INS-66940,+380507400017,2026-05-16 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_262,INS-17461,+380502588966,2026-04-13 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_263,INS-67810,+380501634160,2026-05-08 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_264,INS-30482,+380509758956,2026-05-14 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_265,INS-18058,+380501012927,2026-05-04 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_266,INS-36676,+380509210739,2026-04-11 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_267,INS-62598,+380502623576,2026-05-06 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_268,INS-67506,+380502680611,2026-05-02 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_269,INS-58470,+380506436540,2026-05-24 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_270,INS-65465,+380501493476,2026-04-07 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_271,INS-61692,+380501118354,2026-04-10 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_272,INS-33030,+380509071530,2026-05-07 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_273,INS-47006,+380507312233,2026-05-06 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_274,INS-94506,+380505246379,2026-04-04 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_275,INS-88933,+380507809780,2026-04-05 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_276,INS-76093,+380507468720,2026-04-11 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_277,INS-36038,+380501088811,2026-04-22 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_278,INS-88637,+380503303069,2026-04-21 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_279,INS-83032,+380504409440,2026-03-29 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_280,INS-28970,+380503565629,2026-04-01 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_281,INS-81201,+380502894341,2026-04-22 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_282,INS-91213,+380501989778,2026-05-18 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_283,INS-43921,+380506365582,2026-04-15 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_284,INS-84230,+380503152130,2026-04-09 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_285,INS-75187,+380504570785,2026-05-14 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_286,INS-46367,+380501428461,2026-05-12 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_287,INS-31635,+380505945273,2026-05-21 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_288,INS-78941,+380507745209,2026-04-27 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_289,INS-10866,+380509871120,2026-04-28 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_290,INS-68769,+380502366183,2026-04-17 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_291,INS-79258,+380504808736,2026-05-11 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_292,INS-87052,+380501794188,2026-04-18 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_293,INS-21686,+380501322594,2026-05-06 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_294,INS-20398,+380509458743,2026-05-04 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_295,INS-59625,+380508360118,2026-04-01 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_296,INS-53341,+380502883365,2026-04-08 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_297,INS-29511,+380507560439,2026-05-23 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_298,INS-29084,+380503276369,2026-04-06 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_299,INS-83736,+380503929896,2026-05-22 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_300,INS-44074,+380504410865,2026-04-14 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_301,INS-77346,+380501648589,2026-05-18 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_302,INS-57244,+380504315619,2026-05-10 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_303,INS-15587,+380503779497,2026-04-15 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_304,INS-66672,+380508758737,2026-05-01 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_305,INS-72790,+380509542764,2026-04-21 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_306,INS-43947,+380502425402,2026-03-28 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_307,INS-43240,+380509252924,2026-04-26 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_308,INS-94259,+380501751592,2026-05-11 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_309,INS-47585,+380506566481,2026-04-15 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_310,INS-72928,+380507567798,2026-05-03 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_311,INS-66833,+380508847284,2026-04-06 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_312,INS-77903,+380507084279,2026-04-29 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_313,INS-71650,+380505543455,2026-04-11 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_314,INS-64442,+380501056650,2026-04-13 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_315,INS-95245,+380509695137,2026-04-11 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_316,INS-50391,+380504789489,2026-05-16 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_317,INS-79611,+380502073652,2026-04-14 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_318,INS-50749,+380506531367,2026-04-28 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_319,INS-58181,+380509604166,2026-05-26 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_320,INS-56158,+380505357928,2026-04-14 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_321,INS-45667,+380504866443,2026-04-28 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_322,INS-39530,+380508572205,2026-04-15 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_323,INS-96812,+380508888628,2026-05-08 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_324,INS-51572,+380503182437,2026-04-09 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_325,INS-83678,+380509878473,2026-05-25 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_326,INS-55460,+380506374002,2026-05-04 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_327,INS-67879,+380503481279,2026-05-24 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_328,INS-52565,+380505841747,2026-05-20 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_329,INS-63607,+380507356301,2026-04-13 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_330,INS-90581,+380509241964,2026-04-14 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_331,INS-68609,+380507390216,2026-05-13 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_332,INS-18315,+380503534010,2026-04-02 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_333,INS-74216,+380505137046,2026-05-23 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_334,INS-62620,+380501804246,2026-05-20 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_335,INS-29350,+380504572859,2026-04-19 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_336,INS-14003,+380502342702,2026-03-28 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_337,INS-29721,+380507676694,2026-05-23 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_338,INS-53687,+380507367767,2026-05-19 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_339,INS-62190,+380502502335,2026-05-20 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_340,INS-28016,+380502672488,2026-04-26 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_341,INS-53182,+380505438118,2026-05-13 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_342,INS-77771,+380509277428,2026-04-20 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_343,INS-58390,+380503520330,2026-04-26 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_344,INS-41099,+380504192030,2026-04-20 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_345,INS-56581,+380506174792,2026-04-02 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_346,INS-26427,+380504380605,2026-04-13 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_347,INS-72242,+380504602917,2026-05-01 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_348,INS-80153,+380506612717,2026-04-07 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_349,INS-25618,+380508569111,2026-05-07 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_350,INS-82031,+380504857624,2026-04-24 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_351,INS-49600,+380505859355,2026-04-22 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_352,INS-28299,+380504785781,2026-04-13 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_353,INS-25456,+380506508775,2026-05-07 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_354,INS-20869,+380509099042,2026-04-08 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_355,INS-62865,+380509315524,2026-05-23 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_356,INS-72706,+380505188495,2026-04-19 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_357,INS-68992,+380509574767,2026-04-25 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_358,INS-54305,+380504418898,2026-05-20 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_359,INS-74738,+380505917793,2026-04-22 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_360,INS-28976,+380509654852,2026-05-04 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_361,INS-50456,+380506470470,2026-05-01 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_362,INS-59764,+380504250226,2026-04-09 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_363,INS-32540,+380503930671,2026-03-30 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_364,INS-52870,+380504000701,2026-05-01 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_365,INS-97128,+380505913371,2026-05-04 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_366,INS-60999,+380508597715,2026-04-21 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_367,INS-71475,+380506503011,2026-04-15 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_368,INS-99629,+380504573058,2026-04-26 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_369,INS-29357,+380502489573,2026-05-02 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_370,INS-48421,+380504846149,2026-04-23 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_371,INS-93740,+380508231813,2026-04-11 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_372,INS-27609,+380508669958,2026-04-01 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_373,INS-59643,+380505480656,2026-04-07 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_374,INS-73452,+380508301310,2026-04-25 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_375,INS-17871,+380505451531,2026-04-21 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_376,INS-25206,+380507249424,2026-04-13 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_377,INS-24247,+380505289780,2026-05-26 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_378,INS-50758,+380505835399,2026-05-13 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_379,INS-28116,+380505885602,2026-04-30 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_380,INS-43810,+380503645178,2026-04-03 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_381,INS-32960,+380501768885,2026-04-23 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_382,INS-58994,+380504729110,2026-05-25 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_383,INS-12611,+380508761303,2026-03-30 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_384,INS-18869,+380508581372,2026-04-08 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_385,INS-38479,+380507009742,2026-05-19 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_386,INS-17343,+380505007818,2026-04-16 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_387,INS-18004,+380503578106,2026-04-17 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_388,INS-60025,+380501277652,2026-04-29 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_389,INS-80702,+380509033521,2026-05-06 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_390,INS-95036,+380506476539,2026-04-04 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_391,INS-47743,+380502343518,2026-04-26 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_392,INS-14844,+380501040290,2026-05-04 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_393,INS-42167,+380506743541,2026-04-05 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_394,INS-41031,+380505716481,2026-05-19 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_395,INS-75721,+380509870479,2026-04-02 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_396,INS-99260,+380502837658,2026-05-26 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_397,INS-19652,+380502023139,2026-05-17 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_398,INS-26018,+380505356768,2026-04-09 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_399,INS-61631,+380509148322,2026-05-05 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_400,INS-52961,+380509695414,2026-05-04 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_401,INS-21658,+380503463792,2026-04-16 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_402,INS-73457,+380501202224,2026-05-07 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_403,INS-21112,+380502719421,2026-04-06 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_404,INS-49443,+380504278927,2026-05-24 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_405,INS-96415,+380507175781,2026-05-12 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_406,INS-73124,+380508304080,2026-05-02 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_407,INS-27042,+380505702139,2026-05-06 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_408,INS-75256,+380506590230,2026-04-04 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_409,INS-36683,+380505250804,2026-04-17 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_410,INS-86700,+380504235789,2026-05-01 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_411,INS-18976,+380509867323,2026-05-13 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_412,INS-68188,+380508510555,2026-05-05 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_413,INS-17283,+380505453209,2026-05-12 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_414,INS-28575,+380502013636,2026-05-04 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_415,INS-47306,+380502424071,2026-05-24 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_416,INS-16386,+380504645076,2026-04-30 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_417,INS-48464,+380508728905,2026-04-06 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_418,INS-25761,+380509554681,2026-04-18 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_419,INS-15713,+380509236738,2026-04-23 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_420,INS-91343,+380507833202,2026-05-24 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_421,INS-71633,+380501398531,2026-05-18 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_422,INS-91616,+380508912207,2026-05-17 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_423,INS-70347,+380503256181,2026-04-14 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_424,INS-84097,+380505685702,2026-04-27 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_425,INS-11516,+380506765554,2026-04-11 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_426,INS-95870,+380502612354,2026-05-18 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_427,INS-22151,+380507171584,2026-04-06 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_428,INS-68159,+380503786903,2026-04-17 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_429,INS-23018,+380504312304,2026-03-29 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_430,INS-48338,+380506487477,2026-04-09 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_431,INS-67361,+380504186185,2026-05-15 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_432,INS-62411,+380501013121,2026-04-11 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_433,INS-11662,+380503439701,2026-04-02 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_434,INS-27671,+380506098652,2026-05-13 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_435,INS-17766,+380508122952,2026-05-04 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_436,INS-11093,+380508510339,2026-04-03 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_437,INS-37817,+380502406955,2026-05-21 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_438,INS-80530,+380505541639,2026-04-21 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_439,INS-99020,+380502433855,2026-05-07 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_440,INS-25189,+380502661190,2026-04-12 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_441,INS-24514,+380507532064,2026-04-02 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_442,INS-95126,+380501540536,2026-04-26 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_443,INS-12557,+380501589492,2026-05-26 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_444,INS-29423,+380506093581,2026-05-16 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_445,INS-91114,+380503551228,2026-04-07 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_446,INS-82021,+380501011203,2026-03-29 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_447,INS-39291,+380506459551,2026-04-21 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_448,INS-49847,+380506400862,2026-05-12 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_449,INS-43326,+380507415571,2026-04-07 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_450,INS-11055,+380503774047,2026-05-26 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_451,INS-28507,+380505155202,2026-04-19 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_452,INS-72885,+380506802856,2026-05-20 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_453,INS-90903,+380503634581,2026-05-16 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_454,INS-90832,+380509117337,2026-04-20 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_455,INS-93060,+380502709811,2026-05-08 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_456,INS-33213,+380508906644,2026-05-18 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_457,INS-47372,+380507828460,2026-04-30 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_458,INS-83180,+380501496714,2026-05-06 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_459,INS-93003,+380503966392,2026-04-05 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_460,INS-15317,+380501211491,2026-04-29 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_461,INS-31118,+380505821438,2026-04-18 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_462,INS-20692,+380508986674,2026-05-11 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_463,INS-18644,+380506003061,2026-04-16 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_464,INS-70285,+380505101411,2026-05-15 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_465,INS-69259,+380508509077,2026-04-21 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_466,INS-92513,+380505927232,2026-04-12 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_467,INS-34917,+380509268354,2026-04-11 14:12,Scheduled
